ring,year,doy,depth,sm
10,2005,201,1,26.8451
10,2005,208,1,30.109
10,2005,210,1,25.2243
10,2005,213,1,21.4234
10,2005,215,1,21.8045
10,2005,217,1,21.0159
10,2005,224,1,19.5283
10,2005,228,1,23.0075
10,2005,233,1,33.8435
10,2005,236,1,26.7743
10,2005,240,1,23.4631
10,2005,243,1,21.6599
10,2005,245,1,NA
10,2005,250,1,19.341
10,2005,254,1,17.9038
10,2005,258,1,18.5003
10,2005,261,1,34.8513
10,2005,264,1,37.5282
10,2005,269,1,40.7711
10,2005,273,1,40.269
11,2005,159,1,31.8225
11,2005,160,1,31.236
11,2005,161,1,30.9625
11,2005,164,1,30.5808
11,2005,166,1,36.4386
11,2005,168,1,33.5267
11,2005,171,1,31.5356
11,2005,173,1,29.7483
11,2005,175,1,27.1737
11,2005,178,1,24.0185
11,2005,180,1,24.0714
11,2005,184,1,22.8648
11,2005,188,1,22.4116
11,2005,192,1,20.5584
11,2005,194,1,29.3527
11,2005,196,1,29.3615
11,2005,199,1,22.401
11,2005,201,1,26.2358
11,2005,208,1,30.3772
11,2005,210,1,25.8883
11,2005,213,1,24.0849
11,2005,215,1,22.869
11,2005,217,1,22.2922
11,2005,224,1,20.5764
11,2005,228,1,22.8844
11,2005,233,1,31.4812
11,2005,236,1,25.5002
11,2005,240,1,22.6718
11,2005,243,1,20.6343
11,2005,245,1,19.8746
11,2005,250,1,19.097
11,2005,254,1,17.7828
11,2005,258,1,18.0474
11,2005,261,1,33.2281
11,2005,264,1,36.6718
11,2005,269,1,40.3643
11,2005,273,1,39.6546
1,2005,159,2,37.2622
1,2005,160,2,37.3816
1,2005,161,2,36.7915
1,2005,164,2,36.8519
1,2005,166,2,38.3124
1,2005,168,2,37.513
1,2005,171,2,36.6146
1,2005,173,2,35.7919
1,2005,175,2,34.5684
1,2005,178,2,31.0694
1,2005,180,2,29.1154
1,2005,184,2,25.9003
1,2005,188,2,24.6198
1,2005,192,2,23.4977
1,2005,194,2,23.9004
1,2005,196,2,24.4216
1,2005,199,2,24.6546
1,2005,201,2,24.7423
1,2005,208,2,27.2665
1,2005,210,2,26.2473
1,2005,213,2,27.4911
1,2005,215,2,26.4654
1,2005,217,2,25.9302
1,2005,224,2,23.961
1,2005,228,2,23.7777
1,2005,233,2,34.62
1,2005,236,2,32.3363
1,2005,240,2,29.9289
1,2005,243,2,28.3385
1,2005,245,2,26.9987
1,2005,250,2,26.101
1,2005,254,2,24.8931
1,2005,258,2,24.2382
1,2005,261,2,34.6076
1,2005,264,2,38.0094
1,2005,269,2,42.0988
1,2005,273,2,40.9741
4,2005,159,2,38.0667
4,2005,160,2,36.9708
4,2005,161,2,36.5361
4,2005,164,2,34.3674
4,2005,166,2,40.2184
4,2005,168,2,38.4341
4,2005,171,2,31.9013
4,2005,173,2,27.7998
